cn_code,sector,tonnes_2022,eur_2022,tonnes_2023,eur_2023,tonnes_2024,eur_2024,avg_tonnes,avg_eur
7302,Iron & Steel,110.52799999999999,534052.0,168.83800000000002,744898.0,290.354,1110568.0,189.90666666666667,796506.0
7303,Iron & Steel,145.66,809023.0,14.986,495486.0,65.24,654196.0,75.29533333333332,652901.6666666666
730419,Iron & Steel,4642.673000000001,4817871.0,3903.5269999999996,3493156.0,876.284,2188238.0,3140.828,3499755.0
730439,Iron & Steel,1387.431,2195085.0,1791.846,2775583.0,3124.285,3142885.0,2101.1873333333333,2704517.6666666665
7305,Iron & Steel,100.91799999999999,1158013.0,211.85,1601084.0,200.215,404927.0,170.99433333333332,1054674.6666666667
73061900,Iron & Steel,28.698,425876.0,12.781,210224.0,15.934999999999999,82912.0,19.138,239670.66666666666
73063080,Iron & Steel,35.302,202779.0,41.791000000000004,223145.0,29.137999999999998,162910.0,35.410333333333334,196278.0
73072100,Iron & Steel,222.39000000000001,14181216.0,175.741,15568047.0,120.53800000000001,15008766.0,172.8896666666667,14919343.0
73079100,Iron & Steel,177.58499999999998,4011223.0,112.049,3959827.0,184.322,4413238.0,157.98533333333333,4128096.0
7308,Iron & Steel,3751.565,28025045.0,4727.008,30502206.0,5143.606,33792851.0,4540.726333333333,30773367.333333332
7309,Iron & Steel,2891.569,17603410.0,1993.575,20192578.0,1439.038,11234651.0,2108.0606666666667,16343546.333333334
7310,Iron & Steel,4198.621,25604890.0,8475.394,39402539.0,7569.7210000000005,30132884.0,6747.912,31713437.666666668
731100,Iron & Steel,1345.303,29784775.0,4186.941000000001,26248725.0,5438.801,33340063.0,3657.015000000001,29791187.666666668
731815,Iron & Steel,8494.474,224468153.0,7856.983,241832284.0,6772.928,244063363.0,7708.128333333334,236787933.33333334
731816,Iron & Steel,2289.913,109558173.0,2155.808,120737641.0,1707.6060000000002,144477649.0,2051.109,124924487.66666667
73182200,Iron & Steel,927.1020000000001,53218051.0,837.573,54849199.0,908.1360000000001,60072016.0,890.937,56046422.0
73182300,Iron & Steel,353.61,18420572.0,130.816,15806430.0,148.594,24216535.0,211.00666666666666,19481179.0
73269098,Iron & Steel,17452.509,495062328.0,18048.268,500779229.0,17008.709,493372195.0,17503.162,496404584.0
7601,Aluminium,8090.447,47497433.0,11395.317,50755749.0,14587.560000000001,58970549.0,11357.774666666666,52407910.333333336
7603,Aluminium,455.428,7168845.0,184.753,7509178.0,1154.368,10538382.0,598.183,8405468.333333334
76041010,Aluminium,31.812,749231.0,33.655,1019060.0,18.559,576007.0,28.008666666666667,781432.6666666666
76041090,Aluminium,108.74000000000001,1449795.0,33.855000000000004,879056.0,66.521,1155333.0,69.70533333333334,1161394.6666666667
76042100,Aluminium,258.591,4540400.0,145.951,2290434.0,255.907,2953420.0,220.1496666666667,3261418.0
76042910,Aluminium,1745.5240000000001,25421651.0,2487.674,40778091.0,2299.889,34259138.0,2177.695666666667,33486293.333333332
76042990,Aluminium,1013.4309999999999,25620689.0,1236.905,28375603.0,1581.2450000000001,35177854.0,1277.1936666666668,29724715.333333332
7605,Aluminium,5231.483,30533854.0,2635.195,14210640.0,3148.431,16108496.0,3671.703,20284330.0
