typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,0,W00,World,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,14378702323.0,14378702323.0,4,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,480,MUS,Mauritius,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,95107.0,95107.0,4,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,352,ISL,Iceland,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,96537.0,96537.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,208,DNK,Denmark,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,6638821.0,6638821.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,659,KNA,Saint Kitts and Nevis,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,749162.0,749162.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,800,UGA,Uganda,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,123954.0,123954.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,144,LKA,Sri Lanka,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,556617.0,556617.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,670,VCT,Saint Vincent and the Grenadines,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,97349.0,97349.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,104,MMR,Myanmar,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,189829.0,189829.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,11648.0,11648.0,0,False,True,iron_steel
